id,trackname,popularity,preview_url,track_number,firstartist,imageurl,spotifyurl,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence
5RnMBKVfZKdbpiLhk4Nr84,O Jesu mi dulcissime,0,,13,Prospero Guida,https://i.scdn.co/image/ccea1e514d4e1ddb0100ab21fbbacade500a48d9,https://open.spotify.com/track/5RnMBKVfZKdbpiLhk4Nr84,0.982,0.193,170649,0.386,0.0187,2,0.0769,-11.652999999999999,0.0394,83,4,0.147
51SdejbITy8cNa9nbbWfVa,Mary's Boy Child - Arr. by David Cullen & Chris Hazell,16,,11,Jester Hairston,https://i.scdn.co/image/daea3e6f95f05fe11944672b7158cdd4229d8cfe,https://open.spotify.com/track/51SdejbITy8cNa9nbbWfVa,0.922,0.485,213533,0.289,0.0294,10,0.147,-16.391,0.0408,137,4,0.616
0E6m9f7pRt36UjhTCmHZCg,Douces nuits de Noël,20,https://p.scdn.co/mp3-preview/c592c8637c8e20ac251ac0fd9ab8acff5d1faa79?cid=f715962b546a41029c80979d6042ad77,6,Giorgia Fumanti,https://i.scdn.co/image/3a5dce384b86417b41f3845c951becc52e13b897,https://open.spotify.com/track/0E6m9f7pRt36UjhTCmHZCg,0.981,0.34,264960,0.278,0.0127,1,0.0663,-10.437999999999999,0.0355,66,4,0.201
0TrNTlTyxc5XZUNw3MHbMW,Christmas Lullaby,32,https://p.scdn.co/mp3-preview/39379ee5cb5cb3a992a89fc78a41cac97744e6f2?cid=f715962b546a41029c80979d6042ad77,7,Barbra Streisand,https://i.scdn.co/image/91895bd6144c3c4447c1cc8c886a4bb9467cfb32,https://open.spotify.com/track/0TrNTlTyxc5XZUNw3MHbMW,0.978,0.165,209933,0.21600000000000003,0.00157,0,0.128,-12.807,0.0352,79,1,0.184
63gUTDYyGuFbNdpJmMMX9I,Santa's Wish (Teach The World),37,,5,The Tenors,https://i.scdn.co/image/c0a7d4202e5f179f8b60a06c696bf7cde36f9d15,https://open.spotify.com/track/63gUTDYyGuFbNdpJmMMX9I,0.69,0.32,229693,0.456,0.0,9,0.598,-7.267,0.0332,147,4,0.298
2ZTjXwLUWPld0SRPdGt5VJ,I Saw Three Ships Come Sailing In (on Christmas Day),28,https://p.scdn.co/mp3-preview/c34eda669bf805e6ba8b79a72d9f7c61319fbd03?cid=f715962b546a41029c80979d6042ad77,5,Traditional,https://i.scdn.co/image/b65132264b7537c123bc2fcc530c0920376c14c3,https://open.spotify.com/track/2ZTjXwLUWPld0SRPdGt5VJ,0.451,0.168,195906,0.447,2.61e-05,2,0.12,-6.9110000000000005,0.0318,173,3,0.322
2NxY1dWGp744sWvGeu9x1h,Little Drummer Boy,24,,4,Hayley Westenra,https://i.scdn.co/image/0dff6602c403bc5fa9bf9c6e7b981b32c8c243fa,https://open.spotify.com/track/2NxY1dWGp744sWvGeu9x1h,0.435,0.414,196266,0.27399999999999997,0.0214,1,0.11599999999999999,-12.208,0.0307,125,4,0.0379
6sqOpx2T74DyEAcVfwx7c8,Adeste Fideles,18,,7,Russell Watson,https://i.scdn.co/image/32024c183aeec3ded065c69baf6245959897bd2f,https://open.spotify.com/track/6sqOpx2T74DyEAcVfwx7c8,0.813,0.175,195466,0.363,0.000584,7,0.157,-6.242000000000001,0.03,94,4,0.33299999999999996
5NlzXWxlu3lWlQhre9T15p,Someday at Christmas,33,https://p.scdn.co/mp3-preview/8299df8bf3ca57d10e45a62da36b43ac50177983?cid=f715962b546a41029c80979d6042ad77,1,Jackie Evancho,https://i.scdn.co/image/ec89257bf080da1a10f6b33c6d29260027dc4cfa,https://open.spotify.com/track/5NlzXWxlu3lWlQhre9T15p,0.757,0.257,260760,0.263,0.0,7,0.131,-9.356,0.032,134,3,0.0759
7GhKjft6686rQW4G5UzFr3,Christmas Time Is Here (with Tony Bennett),58,https://p.scdn.co/mp3-preview/86713eba747fe67af8f76b881668e7fd24a64a0a?cid=f715962b546a41029c80979d6042ad77,15,Josh Groban,https://i.scdn.co/image/2e5be6cdc9b9c99f4de65486126e2e6303c7a485,https://open.spotify.com/track/7GhKjft6686rQW4G5UzFr3,0.9,0.37799999999999995,210520,0.239,1.4000000000000001e-05,5,0.127,-13.165999999999999,0.0302,136,3,0.0745
2Ysi49tRdVH74d1Cnc4o94,Man With The Bag,69,,2,Jessie J,https://i.scdn.co/image/9508db8a15e0ec30f8871cce19d9d517ce5b3671,https://open.spotify.com/track/2Ysi49tRdVH74d1Cnc4o94,0.608,0.626,163560,0.6759999999999999,0.0,7,0.493,-3.178,0.0739,141,4,0.684
